2,17,,,,,,,,,,,,,,,
Gene name,P35998,P35972,P35975,P10876,P36001,P36007,P35930,P35937,P10865,P35987,P35963,P35982,P10880,P36016,P35955,P35990
Ccn1,6.902482666,32.57806519,7.867248793,2.307285374,2.995602368,0.944275917,2.563504413,20.3083046,12.10671631,17.4106719,5.449068645,44.59738631,57.55970988,80.80620023,37.27360987,135.0851297
Mcm6,5.647485818,7.723248213,7.242863968,4.245405087,7.048476159,4.910234771,6.088322981,6.269677929,4.523388513,10.27337783,4.48034533,16.44143274,7.395251805,11.63609283,12.3021274,29.66096187
Tnfaip2,8.000604908,6.45944396,3.871185914,3.691656598,5.462569023,3.399393303,6.6223864,6.678569968,8.64765451,16.11298207,10.65595646,14.59177156,12.44867387,10.77416003,24.05341327,58.76647503
Wipf1,4.706238181,3.22972198,2.247785369,2.861033863,2.026436896,2.17183461,2.029440994,2.58964958,3.459061804,3.893069493,1.695265801,4.726911913,3.574371706,5.818046416,4.314925281,11.10897449
Ldb2,3.294366727,6.038175875,2.622416264,4.060822257,3.964767839,2.927255344,3.84525662,6.269677929,2.128653418,8.54312472,5.933430303,7.809680551,7.271997608,9.481260827,8.53804364,18.55198739
Plxnd1,37.80678006,31.03341555,23.10223852,24.0880593,27.48905702,20.11307704,22.96472703,24.94241437,29.13594366,45.09472162,26.76098157,39.66495648,37.22276742,34.4773121,51.13645492,104.0910909
Cdk1,0.627498424,0.561690779,0.374630895,0.276874245,0.88105952,0.56656555,0.427250736,0.136297346,0.399122516,0.648844915,0.363271243,1.438625365,0.73952518,2.370315207,0.459034604,8.442820609
Hvcn1,0.941247636,0.421268084,0.49950786,0.276874245,1.233483328,0.283282775,0.854501471,0.408892039,0.532163354,0.756985735,0.121090414,1.027589546,1.725558754,0.861932802,0.826262288,4.887948773
Gmds,0.627498424,1.263804253,1.373646615,0.55374849,0.88105952,0.944275917,1.495377574,1.09037877,0.532163354,0.432563277,0.8476329,1.438625365,1.479050361,1.723865605,1.377103813,3.44378209
Fbln2,2.353119091,2.527608506,5.744340389,2.307285374,4.317191647,1.982979427,3.418005884,3.271136311,1.729530902,2.487238843,3.753802844,3.699322366,8.381285379,6.895462419,7.252746748,54.10070574
Smc4,21.80557024,19.09748649,18.73154475,25.9338876,24.14103084,15.48612505,19.2262831,20.17200725,23.68126927,21.19560057,15.86284428,22.81248793,28.59497364,34.0463457,24.23702711,49.5460262
Sgk1,10.82434782,30.33130207,10.98917292,17.53536884,12.77536304,8.68733844,12.17664596,25.8964958,23.81431011,16.32926371,11.14031812,34.73252666,47.08310316,38.57149291,20.38113643,73.09705211
Slc43a2,2.353119091,0.842536169,1.623400545,1.384371224,0.88105952,1.321986284,1.92262831,0.408892039,1.330408386,3.352365397,0.726542486,4.521394003,1.848812951,3.232248009,4.131311439,7.887371884
Wfdc2,3.451241333,3.510567369,2.872170194,4.153113672,4.140979743,4.626951995,6.301948349,4.361515081,6.519001092,4.433773589,8.234148175,7.604162642,4.313896886,7.326428821,9.180692086,28.43897468
Dll4,2.823742909,4.353103538,5.119955564,2.491868203,3.08370832,2.077407018,5.554259562,4.497812428,1.729530902,4.758196047,2.906169944,6.165537277,6.409218231,4.956113614,6.33467754,11.8866027
Ckb,13.64809073,11.37423828,9.740403268,10.79809555,13.2158928,8.970621216,14.52652501,9.677111587,7.450286962,11.89549012,14.77303055,14.59177156,10.23009833,20.68638726,17.81054265,39.32576968
Syk,5.804360424,2.527608506,3.246801089,2.399576788,2.819390464,3.210538119,3.418005884,3.543731004,2.394735095,5.839604239,4.722526159,6.987608914,2.465083935,9.481260827,5.141187568,26.66153876
Rps6ka1,4.392488969,1.965917727,3.496555019,5.168319237,4.052873791,3.021682936,2.883942465,4.361515081,6.252919415,5.73146342,3.027260358,6.987608914,6.409218231,7.11094562,6.885519065,11.55333346
Lamb2,15.84433521,19.65917727,15.60962062,13.65912941,19.55952134,13.40871803,19.54672115,17.58235767,16.76314567,19.24906583,15.74175386,19.52420138,22.555518,31.02958089,26.99123473,37.32615427
Fermt3,9.098727151,8.846629771,5.494586459,4.614570747,6.343628543,5.004662362,7.583700555,9.404516894,8.248531994,9.408251274,8.718509832,9.042788007,8.751047969,9.696744027,11.38405819,33.77128243
Apobr,1.882495273,1.263804253,0.99901572,1.753536884,0.352423808,1.038703509,1.92262831,0.681486731,1.064326709,2.162816385,1.331994558,1.849661183,2.218575541,3.016764808,1.285296892,7.887371884
Chst2,5.490611212,2.94887659,1.99803144,4.983736407,2.907496416,1.888551835,2.990755149,3.407433657,4.257306836,2.162816385,2.78507953,3.904840276,6.285964034,5.171596815,3.672276835,21.66250025
Nlrp3,1.254996848,0.561690779,0.49950786,1.015205564,0.616741664,0.283282775,0.213625368,1.09037877,0.665204193,0.540704096,0.8476329,1.438625365,0.986033574,1.077416003,1.377103813,2.888333366
Lpcat2,1.725620667,1.123381558,0.624384825,1.199788394,1.233483328,1.133131101,0.747688787,0.954081424,0.93128587,1.297689831,1.453084972,1.438625365,1.109287771,3.016764808,1.377103813,7.10974367
Igsf8,0.627498424,1.825495032,2.372662334,1.292079809,1.76211904,1.982979427,1.602190258,1.771865502,2.527775934,2.162816385,1.331994558,3.904840276,4.56040528,1.077416003,3.029628389,8.220641119
Ptprc,14.27558915,10.53170211,3.746308949,6.091233386,5.814992831,5.193517546,9.826766917,7.768948739,8.64765451,10.38151865,6.296701546,14.38625365,6.902235018,12.92899204,13.86284505,39.10359019
Pde1b,1.254996848,0.421268084,0.874138755,1.015205564,0.088105952,1.416413876,1.495377574,0.545189385,1.064326709,1.838393927,1.695265801,1.849661183,1.479050361,2.154832006,1.10168305,9.220448823
Mapk3,37.49303085,38.33539567,34.34116537,45.03821049,39.20714864,35.31591931,35.56862373,42.93366408,44.70172177,49.20407276,36.3271243,55.90087131,55.83415112,46.32888813,51.77910337,68.76455206
Cd36,80.16292369,58.13499564,77.67347221,84.26206184,48.89880335,28.51713271,47.74526969,52.33818098,31.79676043,85.75566966,64.90446208,213.7386256,105.1358298,151.9156564,136.1496636,235.2880796
Gnai2,60.39672333,56.87119139,51.94881743,56.66692877,66.51999375,54.01258248,58.64016345,65.55902357,53.7484988,88.13476768,68.17390327,89.19477261,57.68296408,119.1622099,85.47224333,163.4130147
Ctsb,505.7637299,501.5898658,487.5196712,381.7172922,416.9173648,437.1997498,485.6772736,594.8016192,613.0521843,572.9300604,547.8130345,677.5925468,588.5387895,634.813509,730.7830901,939.5970619
Ncf1,1.725620667,1.263804253,0.74926179,0.646039905,0.616741664,0.944275917,1.709002942,1.09037877,1.862571741,0.865126554,1.816356215,1.849661183,1.725558754,1.508382404,2.019752259,4.999038518
Fmnl1,4.706238181,2.668031201,2.372662334,3.045616693,2.819390464,2.549544977,2.243066361,3.543731004,4.257306836,3.244224577,3.995983673,4.110358185,4.437151083,3.878697611,5.508415252,8.776089843
Hid1,2.666868303,5.336062402,4.745324669,3.230199523,4.140979743,2.832827752,4.592945407,4.361515081,7.71636864,6.921012432,4.722526159,5.34346564,8.751047969,4.309664012,7.160939827,25.77282081
Cdc25b,2.509993697,2.387185811,2.747293229,1.384371224,1.850224992,1.794124243,1.815815626,2.044460194,3.85818432,3.244224577,2.906169944,4.521394003,2.588338132,3.016764808,4.590346043,7.998461629
Clip2,3.451241333,2.527608506,1.49852358,3.230199523,1.938330944,2.832827752,2.777129781,1.771865502,2.92689845,4.866336866,2.906169944,3.082768639,3.820880099,4.740630413,5.32480141,9.220448823
Evl,4.392488969,3.650990064,1.623400545,2.122702544,1.76211904,2.077407018,2.777129781,1.362973463,3.725143481,2.91980212,2.179627458,3.904840276,3.081354919,3.878697611,4.314925281,9.442628312
Psd4,3.294366727,3.370144675,1.373646615,3.230199523,1.233483328,1.699696651,2.883942465,3.543731004,4.656429352,2.91980212,1.695265801,4.315876094,5.423184657,2.370315207,4.131311439,12.33096168
Soat1,3.608115939,2.808453896,2.122908404,1.384371224,1.145377376,2.17183461,2.029440994,1.908162848,1.463449225,1.513971469,1.574175386,3.288286548,0.986033574,4.094180812,2.937821468,13.33076938
Trim35,1.098122242,1.263804253,1.123892685,0.461457075,0.969165472,0.660993142,2.029440994,1.362973463,1.596490063,1.946534746,0.363271243,2.055179092,1.479050361,1.508382404,3.121435309,5.443397498
BC067074,0.941247636,0.842536169,0.124876965,0.276874245,0.616741664,0.56656555,1.815815626,0.408892039,0.665204193,1.838393927,0.726542486,1.849661183,0.493016787,1.723865605,1.377103813,7.220833415
Plau,1.254996848,1.965917727,0.624384825,0.830622734,0.616741664,0.188855183,0.427250736,1.362973463,0.399122516,0.865126554,0.8476329,1.027589546,1.232541967,1.292899204,1.468910734,7.33192316
Chaf1a,0.470623818,1.123381558,0.624384825,0.55374849,0.528635712,0.849848326,0.640876103,1.226676117,1.995612579,1.40583065,0.8476329,2.260697002,1.479050361,1.939348805,1.836138417,3.44378209
Fmnl3,4.392488969,6.740289349,4.495570739,5.629776311,5.374463071,3.871531261,5.127008826,4.77040712,4.922511029,5.298900143,4.722526159,6.782091005,6.162709837,11.42060963,7.344553669,12.55314117
Rgs18,0.156874606,0.842536169,0.624384825,0.092291415,0.44052976,0.755420734,0.747688787,0.408892039,0.399122516,1.081408192,0.726542486,1.027589546,0.493016787,0.646449602,1.193489971,4.221410304
Axl,12.54996848,6.319021265,6.118971284,4.060822257,5.903098783,6.609931422,8.651827394,10.22230097,5.587715222,13.30132077,7.144334446,17.26350438,5.916201444,20.90187046,12.11851355,34.21564141
Sla,2.980617515,2.246763116,0.99901572,1.845828299,1.585907136,1.321986284,1.281752207,1.499270809,1.330408386,2.054675566,1.574175386,5.754501459,1.232541967,3.232248009,1.652524576,10.44243602
Pdlim4,2.196244485,1.685072337,1.373646615,0.461457075,1.585907136,1.699696651,2.563504413,2.317054887,2.660816772,3.460506216,3.390531601,2.260697002,2.834846525,3.66321441,2.662400705,11.55333346
Cybb,6.431858848,0.982958863,1.99803144,1.938119714,1.233483328,2.17183461,2.563504413,0.817784078,2.128653418,3.352365397,3.874893259,4.521394003,0.616270984,4.309664012,5.692029094,34.54891065
