atf4,120.4407851,93.88109067,104.4019996,622.5634676,565.7069481,647.5238973,
trib3,8.132534372,8.944704667,8.291022066,205.0354602,191.5652193,219.5402592,
chac1,4.012047779,4.326194321,3.577579626,110.6624766,101.1297729,102.2490118,
Gene.name,C1,C2,C3,T1,T2,T3,Gene.stable.ID,DBID,P Values,atf4,trib3,chac1,R Values,atf4,trib3,chac1
Atf4,120.4407851,93.88109067,104.4019996,622.5634676,565.7069481,647.5238973,ENSPEMG00000006079,6078,,1.8488927466117464e-32,1.0946529047374357e-06,3.7391607862952805e-05,,0.9999999999999999,0.999145613379547,0.9950030680826172
Trib3,8.132534372,8.944704667,8.291022066,205.0354602,191.5652193,219.5402592,ENSPEMG00000023788,23787,,1.0946529047374357e-06,0.0,3.3180468782833147e-05,,0.999145613379547,1.0,0.9952930824074353
Vps37c,13.969968,12.32115071,12.99711947,25.03521179,23.76548984,25.36404533,ENSPEMG00000004563,4562,,3.1015424019611446e-06,2.336320094657433e-05,6.578306641478344e-05,,0.9985617070092708,0.9960508231555456,0.9933703312451471
null0,75.73983222,61.99805358,63.67524689,246.0089008,211.3534083,237.8899755,ENSPEMG00000017251,17250,,8.759722209541028e-06,4.30402370640261e-05,4.4168163838172265e-05,,0.9975824548386661,0.9946385764480293,0.9945687157963006
Zfp623,6.220979359,5.750126767,5.842944202,10.10538226,9.452773314,10.58390879,ENSPEMG00000011533,11532,,1.2541285082994357e-05,4.545177360227426e-05,0.00032734855240231447,,0.9971070902355154,0.9944902872065763,0.9851907123314663
E4f1,8.81262873,7.820473243,8.04378162,14.80901583,13.7122864,15.19863336,ENSPEMG00000003979,3978,,1.3577230051053481e-05,6.657214047150613e-05,0.00024466215436603925,,0.996989920645562,0.9933306438095026,0.9872012913926076
Ears2,3.366429185,3.277016204,3.109835196,6.453762876,5.864658888,6.773051007,ENSPEMG00000010930,10929,,2.0311617163633596e-05,4.057005562813246e-05,0.00030450704886574384,,0.9963179192956398,0.9947948378691868,0.985717991723502
Nck1,15.0143793,14.80799161,14.2373581,21.2511384,21.05600428,21.50967322,ENSPEMG00000020513,20512,,2.229986435804767e-05,1.681805012535337e-05,3.387263211670763e-05,,0.9961417983106456,0.99664969125695,0.9952442025202751
Zfp397,7.336910905,6.244352539,7.38285218,14.48777821,14.18378613,15.53036111,ENSPEMG00000019113,19112,,2.567418819217764e-05,4.3316360704870605e-05,0.00026604225423792685,,0.9958599784446329,0.9946213904654835,0.9866525606699708
null1,5.329256485,4.935858183,4.286461321,12.33541752,12.28804041,13.32414724,ENSPEMG00000009386,9385,,2.7995009323808742e-05,2.1206111521584583e-05,0.0001540930249260253,,0.9956767750885789,0.9962376656409727,0.9898472899176445
Chac1,4.012047779,4.326194321,3.577579626,110.6624766,101.1297729,102.2490118,ENSPEMG00000008038,8037,,3.7391607862952805e-05,3.3180468782833147e-05,1.8488927466117464e-32,,0.9950030680826172,0.9952930824074353,0.9999999999999999
Dnajc3,75.49816794,70.25141675,64.86558029,125.427095,119.2595895,126.1819147,ENSPEMG00000016620,16619,,3.974141964986178e-05,7.752222103623373e-05,0.0001172506876758339,,0.9948483153479621,0.9928023772330201,0.9911457065255866
Yars,43.7812426,36.18058708,39.6856057,102.9133054,106.9670447,111.3555038,ENSPEMG00000010746,10745,,4.619430119038037e-05,3.8141934608593316e-05,0.00015065973727892268,,0.9944454229215585,0.994953139033954,0.9899612226352659
Ddit4,36.51315091,21.91749951,26.93118587,91.21977746,85.06807991,93.32826902,ENSPEMG00000009530,9529,,5.2514381088225076e-05,0.00015277207543913676,0.0002472648896328685,,0.9940772606277966,0.9898909740568662,0.9871332481105348
Dus4l,6.210965773,6.601613785,6.386085312,9.884884554,9.823989485,10.15547132,ENSPEMG00000022807,22806,,5.306680827934315e-05,8.69830979807575e-06,5.595507815645136e-05,,0.994046158952824,0.9975909475851396,0.9938861171479608
Ogg1,2.51551231,2.805155294,2.651136822,6.256461223,6.086133683,6.987134151,ENSPEMG00000017476,17475,,5.563827188666674e-05,1.7872330842066475e-05,0.0003420873091825278,,0.9939034671614639,0.996546216540506,0.9848601530405086
Artn,3.028682227,3.193200796,3.802524376,10.24255939,9.061818003,11.02829656,ENSPEMG00000008936,8935,,5.607951082714902e-05,5.629524313123281e-05,0.0003853760894023306,,0.9938793159572883,0.9938675423681007,0.9839282490999635
Zfp956,1.111653167,1.037086523,0.980144762,2.227616845,2.142081041,2.123743838,ENSPEMG00000008548,8547,,7.864008423305603e-05,9.961236123189609e-05,7.789150098482872e-06,,0.9927506057475982,0.9918397690577332,0.997720369416713
Mob3c,1.752677524,1.606426536,1.752859627,3.174491728,3.270682736,3.259850605,ENSPEMG00000023064,23063,,8.338553270328356e-05,6.462826064574096e-05,7.711511686756198e-05,,0.9925348120564598,0.9934288442321353,0.9928213238159299
Asns,47.17643231,49.82443679,48.94060762,127.6461246,134.7633478,141.550501,ENSPEMG00000024254,24253,,8.432855323988959e-05,2.3233104247321522e-05,0.0001734139406379521,,0.9924926653550914,0.9960618411334039,0.9892284687294983
Mrrf,18.96134279,18.39994528,19.77183586,29.68231806,26.99257024,29.24505866,ENSPEMG00000012001,12000,,8.683668671427405e-05,0.00017328789745147484,0.00025081280236224305,,0.9923816990463706,0.9892323910642267,0.9870410667933431
Ppp1r15a,21.68678724,24.15964777,17.38088808,128.7151678,121.5167812,118.810114,ENSPEMG00000013886,13885,,9.508875463844556e-05,7.447967413987236e-05,1.0476590786659048e-06,,0.9920274584703684,0.9929452033668469,0.9991641566921337
Ifrd1,18.56508337,11.92208258,13.48293683,69.4786182,72.30322579,85.05594833,ENSPEMG00000000131,131,,0.00010115659782470225,8.968987920409016e-05,0.0006652747782764795,,0.9917766737789673,0.9922573925146922,0.9788655926825659
Mrm1,5.909822971,5.176377,5.306392541,10.06358038,9.603846686,9.600730918,ENSPEMG00000021522,21521,,0.00010685251862702495,0.0002044467371205153,4.711277222850808e-05,,0.9915480018833446,0.9883025065634967,0.9943904229807483
Zfp768,13.30934364,12.64784462,12.4189849,18.25899444,18.75999466,19.21150757,ENSPEMG00000023566,23565,,0.00011248742751249522,9.398053832662785e-05,0.0003074150603019361,,0.9913276859805824,0.9920741146010024,0.9856497940115403
Rpusd2,6.114092421,5.332288225,5.404306959,9.101405967,8.453694421,9.333836039,ENSPEMG00000012878,12877,,0.00011483810306709146,0.0003002317846047216,0.0006632085996029942,,0.9912374085975152,0.9858188449856542,0.9788985540655643
null2,15.12605054,13.48660569,15.26292667,25.44560599,23.99940248,24.35534087,ENSPEMG00000021010,21009,,0.00011842109513171689,0.0002247182909709277,7.918394678776458e-05,,0.991101558394735,0.9877351239616359,0.9927255506491632
Taf1d,5.438255108,5.586689823,5.530523676,15.343687,13.53741799,17.33188957,ENSPEMG00000023691,23690,,0.00011870325713177978,0.0001292204971528394,0.0008889609869625358,,0.991090947739502,0.9907040456462965,0.9755559994529948
Cars,31.89690377,24.18552691,25.18433813,96.23211848,90.60434454,88.11372399,ENSPEMG00000009377,9376,,0.00011911789502624464,0.0001788051707714422,1.6101459405776252e-05,,0.9910753781378514,0.9890620087306833,0.9967218833856516
Zfp777,16.85243515,18.11548429,16.38315655,26.16930574,25.19003575,26.50171224,ENSPEMG00000017296,17295,,0.00013185150895307396,6.951519313917981e-05,0.0001488599310173629,,0.9906097386786303,0.993184650844773,0.9900214657703463
Casp8,1.690983275,1.655553981,1.764398136,6.627887021,6.443491411,6.126400234,ENSPEMG00000021544,21543,,0.00013636219089715126,0.0001122536058771956,2.3215516134894695e-06,,0.9904502127868291,0.9913367170860246,0.9987556755690521
Gars,192.813163,162.8727118,169.5408297,368.3832229,330.5916119,341.5682539,ENSPEMG00000019930,19929,,0.0001405560322278636,0.0003175640711433769,9.778270787583249e-05,,0.9903042355914673,0.9854142630599534,0.9919151607262372
Snx16,10.56061426,9.437638647,9.776255765,14.3399372,13.54996852,14.21514649,ENSPEMG00000000176,176,,0.00014077338746032713,0.0003762981054931801,0.00041171098694553834,,0.9902967295654593,0.9841191796908628,0.9833866791316357
Hspa5,499.7214232,654.4242005,555.6537797,1672.512737,1627.56541,1648.275754,ENSPEMG00000021747,21746,,0.00014184146970382857,5.471126485790718e-05,2.4310902050316315e-05,,0.9902599286426242,0.9939545201772398,0.995971469110843
null3,7.84441844,7.246785289,7.295298186,15.08768849,15.09145712,14.50917948,ENSPEMG00000008428,8427,,0.00014500536328420447,0.00014470351930893807,1.5516477001163688e-05,,0.9901517193066256,0.990161991663163,0.9967820152473492
Traf2,14.27664983,14.32057926,13.52628265,30.81100645,31.18116484,29.99192102,ENSPEMG00000011629,11628,,0.0001482414888734269,9.760165885685392e-05,1.1467918090701694e-05,,0.9900422499825765,0.9919226590348755,0.9972337146011467
Nfxl1,4.618427363,4.109531158,4.424325964,11.87645453,12.70722212,12.34583745,ENSPEMG00000021617,21616,,0.0001499661102079608,9.617198383448457e-05,9.113835660009542e-05,,0.9899843970290587,0.9919821156333795,0.9921950406587692
Myc,12.1681712,13.54853388,14.96837472,70.18822285,59.99120046,61.2110729,ENSPEMG00000018619,18618,,0.00015587423411016885,0.00018050633548894067,1.246177545944542e-05,,0.9897886792631603,0.989010003899547,0.9971162795160833
Golga5,19.56216596,18.31381361,19.18393013,26.08473863,25.75652088,25.48975086,ENSPEMG00000012325,12324,,0.00015635560154943025,0.00024200041048939565,6.77117610142917e-05,,0.9897728972347756,0.9872712510928227,0.9932737371513287
Fn3krp,4.963517934,4.940392784,4.89483653,8.874115429,8.688856876,8.412486499,ENSPEMG00000009809,9808,,0.00015727328006102836,0.0001370872242304238,2.313651731151996e-06,,0.9897428773155994,0.9904248178337691,0.9987577949342762
Nr2c1,11.97881243,11.46353252,11.25228053,14.61147569,14.35161237,15.24846242,ENSPEMG00000011087,11086,,0.00015974982292306074,0.0002475560974049728,0.000958224139762784,,0.9896622952722846,0.9871256572934313,0.9746175826192663
Rassf1,8.932887202,11.15567507,10.18648282,35.54468592,35.26365074,34.16212147,ENSPEMG00000007763,7762,,0.00016097652669905913,7.872013772325604e-05,9.053379435695758e-06,,0.9896226111751895,0.9927469123664444,0.9975422500129721
Ivd,15.34257996,13.73757558,16.07689052,24.90163366,25.16510068,25.79368717,ENSPEMG00000014300,14299,,0.00016225486007214384,0.00017965817611668546,0.00031768965332221253,,0.9895814168463781,0.9890359015806467,0.9854113722834101
Fam76b,3.243999124,2.84213056,3.192638338,6.519837081,5.78234588,5.975518927,ENSPEMG00000010985,10984,,0.0001645278495536822,0.00032861294667303477,8.516244698605376e-05,,0.9895085671005629,0.9851620680333726,0.9924555913110235
Arhgef2,7.667544727,6.975023669,5.878055383,16.17205802,13.8123135,16.41706219,ENSPEMG00000019177,19176,,0.0001657669263174524,0.0003093091770915784,0.0006232664022361502,,0.989469065578529,0.9856055463314275,0.9795460681903317
null4,44.12013767,38.27164416,41.75902845,72.28884672,75.185532,80.94813437,ENSPEMG00000001369,1369,,0.00017297914725803405,0.00017395550769234015,0.000786877774579093,,0.9892420050629356,0.9892116318572992,0.9770078997878222
Trub2,8.28820543,7.194456062,7.359653216,11.84343003,11.40158535,12.61526688,ENSPEMG00000017893,17892,,0.00018078320994356997,0.0003520885161029248,0.0010799283006722,,0.9890015629501758,0.9846398675722556,0.9730467219234605
Alg12,21.44150773,24.177173,21.74892397,48.42898387,50.74435937,50.88208697,ENSPEMG00000023141,23140,,0.0001866969261871609,6.256120901646723e-05,0.00011028380197503337,,0.988822787730812,0.993534897694656,0.9914131740172412
Dph7,2.88034081,3.142848481,3.022705654,7.409888358,6.111378406,7.600025737,ENSPEMG00000017191,17190,,0.0001949688043674308,0.000250883239315239,0.0006994185195892014,,0.9885773910598055,0.9870392433055839,0.9783280847716855
Trim27,32.74338739,29.45579559,29.23097128,50.60607895,51.26051773,50.2279732,ENSPEMG00000022731,22730,,0.00019559138605231395,0.00023583537318779663,0.00011692198389332418,,0.9885591330969694,0.9874347754337263,0.9911581448042452
Fam84b,0.228392546,0.231475633,0.152185284,0.639874285,0.671558853,0.71139254,ENSPEMG00000019492,19491,,0.00019770692535287505,0.00011953963025978884,0.00034164810386357687,,0.9884973076463645,0.9910595697218257,0.9848698998771317
