6,,,,,,,,
Gene.name,C1,C2,C3,T1,T2,T3,Gene.stable.ID,DBID
Atf4,120.4407851,93.88109067,104.4019996,622.5634676,565.7069481,647.5238973,ENSPEMG00000006079,6078
Trib3,8.132534372,8.944704667,8.291022066,205.0354602,191.5652193,219.5402592,ENSPEMG00000023788,23787
Vps37c,13.969968,12.32115071,12.99711947,25.03521179,23.76548984,25.36404533,ENSPEMG00000004563,4562
,75.73983222,61.99805358,63.67524689,246.0089008,211.3534083,237.8899755,ENSPEMG00000017251,17250
Zfp623,6.220979359,5.750126767,5.842944202,10.10538226,9.452773314,10.58390879,ENSPEMG00000011533,11532
E4f1,8.81262873,7.820473243,8.04378162,14.80901583,13.7122864,15.19863336,ENSPEMG00000003979,3978
Ears2,3.366429185,3.277016204,3.109835196,6.453762876,5.864658888,6.773051007,ENSPEMG00000010930,10929
Nck1,15.0143793,14.80799161,14.2373581,21.2511384,21.05600428,21.50967322,ENSPEMG00000020513,20512
Zfp397,7.336910905,6.244352539,7.38285218,14.48777821,14.18378613,15.53036111,ENSPEMG00000019113,19112
,5.329256485,4.935858183,4.286461321,12.33541752,12.28804041,13.32414724,ENSPEMG00000009386,9385
Chac1,4.012047779,4.326194321,3.577579626,110.6624766,101.1297729,102.2490118,ENSPEMG00000008038,8037
Dnajc3,75.49816794,70.25141675,64.86558029,125.427095,119.2595895,126.1819147,ENSPEMG00000016620,16619
Yars,43.7812426,36.18058708,39.6856057,102.9133054,106.9670447,111.3555038,ENSPEMG00000010746,10745
Ddit4,36.51315091,21.91749951,26.93118587,91.21977746,85.06807991,93.32826902,ENSPEMG00000009530,9529
Dus4l,6.210965773,6.601613785,6.386085312,9.884884554,9.823989485,10.15547132,ENSPEMG00000022807,22806
Ogg1,2.51551231,2.805155294,2.651136822,6.256461223,6.086133683,6.987134151,ENSPEMG00000017476,17475
Artn,3.028682227,3.193200796,3.802524376,10.24255939,9.061818003,11.02829656,ENSPEMG00000008936,8935
Zfp956,1.111653167,1.037086523,0.980144762,2.227616845,2.142081041,2.123743838,ENSPEMG00000008548,8547
Mob3c,1.752677524,1.606426536,1.752859627,3.174491728,3.270682736,3.259850605,ENSPEMG00000023064,23063
Asns,47.17643231,49.82443679,48.94060762,127.6461246,134.7633478,141.550501,ENSPEMG00000024254,24253
Mrrf,18.96134279,18.39994528,19.77183586,29.68231806,26.99257024,29.24505866,ENSPEMG00000012001,12000
Ppp1r15a,21.68678724,24.15964777,17.38088808,128.7151678,121.5167812,118.810114,ENSPEMG00000013886,13885
Ifrd1,18.56508337,11.92208258,13.48293683,69.4786182,72.30322579,85.05594833,ENSPEMG00000000131,131
Mrm1,5.909822971,5.176377,5.306392541,10.06358038,9.603846686,9.600730918,ENSPEMG00000021522,21521
Zfp768,13.30934364,12.64784462,12.4189849,18.25899444,18.75999466,19.21150757,ENSPEMG00000023566,23565
Rpusd2,6.114092421,5.332288225,5.404306959,9.101405967,8.453694421,9.333836039,ENSPEMG00000012878,12877
,15.12605054,13.48660569,15.26292667,25.44560599,23.99940248,24.35534087,ENSPEMG00000021010,21009
Taf1d,5.438255108,5.586689823,5.530523676,15.343687,13.53741799,17.33188957,ENSPEMG00000023691,23690
Cars,31.89690377,24.18552691,25.18433813,96.23211848,90.60434454,88.11372399,ENSPEMG00000009377,9376
Zfp777,16.85243515,18.11548429,16.38315655,26.16930574,25.19003575,26.50171224,ENSPEMG00000017296,17295
Casp8,1.690983275,1.655553981,1.764398136,6.627887021,6.443491411,6.126400234,ENSPEMG00000021544,21543
Gars,192.813163,162.8727118,169.5408297,368.3832229,330.5916119,341.5682539,ENSPEMG00000019930,19929
Snx16,10.56061426,9.437638647,9.776255765,14.3399372,13.54996852,14.21514649,ENSPEMG00000000176,176
Hspa5,499.7214232,654.4242005,555.6537797,1672.512737,1627.56541,1648.275754,ENSPEMG00000021747,21746
,7.84441844,7.246785289,7.295298186,15.08768849,15.09145712,14.50917948,ENSPEMG00000008428,8427
Traf2,14.27664983,14.32057926,13.52628265,30.81100645,31.18116484,29.99192102,ENSPEMG00000011629,11628
Nfxl1,4.618427363,4.109531158,4.424325964,11.87645453,12.70722212,12.34583745,ENSPEMG00000021617,21616
Myc,12.1681712,13.54853388,14.96837472,70.18822285,59.99120046,61.2110729,ENSPEMG00000018619,18618
Golga5,19.56216596,18.31381361,19.18393013,26.08473863,25.75652088,25.48975086,ENSPEMG00000012325,12324
Fn3krp,4.963517934,4.940392784,4.89483653,8.874115429,8.688856876,8.412486499,ENSPEMG00000009809,9808
Nr2c1,11.97881243,11.46353252,11.25228053,14.61147569,14.35161237,15.24846242,ENSPEMG00000011087,11086
Rassf1,8.932887202,11.15567507,10.18648282,35.54468592,35.26365074,34.16212147,ENSPEMG00000007763,7762
Ivd,15.34257996,13.73757558,16.07689052,24.90163366,25.16510068,25.79368717,ENSPEMG00000014300,14299
Fam76b,3.243999124,2.84213056,3.192638338,6.519837081,5.78234588,5.975518927,ENSPEMG00000010985,10984
Arhgef2,7.667544727,6.975023669,5.878055383,16.17205802,13.8123135,16.41706219,ENSPEMG00000019177,19176
,44.12013767,38.27164416,41.75902845,72.28884672,75.185532,80.94813437,ENSPEMG00000001369,1369
Trub2,8.28820543,7.194456062,7.359653216,11.84343003,11.40158535,12.61526688,ENSPEMG00000017893,17892
Alg12,21.44150773,24.177173,21.74892397,48.42898387,50.74435937,50.88208697,ENSPEMG00000023141,23140
Dph7,2.88034081,3.142848481,3.022705654,7.409888358,6.111378406,7.600025737,ENSPEMG00000017191,17190
Trim27,32.74338739,29.45579559,29.23097128,50.60607895,51.26051773,50.2279732,ENSPEMG00000022731,22730
Fam84b,0.228392546,0.231475633,0.152185284,0.639874285,0.671558853,0.71139254,ENSPEMG00000019492,19491
Prr3,9.153763087,9.194125592,8.400414331,22.74875111,20.02809396,20.31737796,ENSPEMG00000001275,1275
Rcl1,9.649563082,8.864943793,10.68464868,19.91938206,20.37530927,22.88929408,ENSPEMG00000023275,23274
Lpxn,1.960003342,2.113473167,2.109787394,5.7767029,6.30165355,6.769344643,ENSPEMG00000021779,21778
,11.95992615,12.12413324,12.07714014,15.864115,15.51674013,15.30482431,ENSPEMG00000006100,6099
Atf3,48.68912377,44.13574346,27.70038078,194.5244153,190.970345,180.7404977,ENSPEMG00000000661,661
Lmo4,19.51040748,14.2919292,15.21048052,35.97389473,32.4672297,38.42242912,ENSPEMG00000020893,20892
Mbp,0.084361693,0.064435158,0.081196417,0.156857778,0.156499382,0.179788712,ENSPEMG00000021451,21450
Mxd1,2.301412696,2.021672166,2.395066755,3.933905486,3.612228967,3.734132867,ENSPEMG00000011539,11538
Zfp296,2.582805653,2.120184542,2.681310078,6.893346383,6.668391695,8.441003891,ENSPEMG00000008067,8066
Slc35b1,51.68951249,52.37707095,47.88020629,80.94795173,72.42438125,83.03855738,ENSPEMG00000021039,21038
,11.04295752,11.9273011,11.43045126,22.50669687,22.39995157,21.35717945,ENSPEMG00000010311,10310
Ptcd2,15.9782155,14.93880222,15.85447067,24.05277338,21.48347013,24.94125674,ENSPEMG00000000884,884
Cyp1a1,3.508065433,0.881397284,1.266165653,171.6908042,111.2998164,164.5981118,ENSPEMG00000015335,15334
,1.082104352,1.188636941,1.48575301,2.789237435,2.617368785,2.924284706,ENSPEMG00000008498,8497
Rxrb,29.67685607,29.62347548,29.90854231,37.34917053,38.59192691,40.11257688,ENSPEMG00000018454,18453
,8.466186592,8.134702439,8.200599979,10.1443175,10.45809115,10.3760758,ENSPEMG00000023747,23746
Dnajb9,21.94464089,26.42746819,19.38905319,132.3156673,146.5319959,135.7979834,ENSPEMG00000010513,10512
Sars,161.0947161,120.9295522,129.8534316,294.1516474,252.3007828,300.1384078,ENSPEMG00000013142,13141
,18.71480544,15.91470758,16.59968694,26.83762712,27.59746213,27.69297538,ENSPEMG00000017947,17946
Birc3,9.239279009,7.801343807,9.587748607,35.11430272,39.2270095,45.38858488,ENSPEMG00000020508,20507
Arl14ep,17.27913485,15.3247444,16.01131489,50.99715974,58.17568528,56.08487012,ENSPEMG00000002547,2546
Mvd,6.437512866,5.759078552,6.611037299,12.62699186,10.63653737,13.26461703,ENSPEMG00000018457,18456
Wtap,23.79218357,21.87087326,23.41764501,34.53432866,31.18653198,32.64573356,ENSPEMG00000014297,14296
Zfp639,13.09515668,12.64749889,12.79219473,17.5919169,18.62264688,18.35250615,ENSPEMG00000011611,11610
Zfand2a,10.38687515,9.573039119,7.847767787,41.67024832,40.2208607,36.20489933,ENSPEMG00000023506,23505
Nfkbil1,22.91338106,18.3345464,17.59567333,36.54631969,33.72404488,38.92624113,ENSPEMG00000000732,732
Siah2,7.794545187,6.722432256,7.595867606,30.88239852,32.0205393,28.19334596,ENSPEMG00000014755,14754
Cwf19l1,8.303258683,7.250255483,7.40079851,10.65697787,10.52198868,11.22779161,ENSPEMG00000013069,13068
Tmem39b,6.629738769,6.148864293,6.645344195,10.70273133,9.188057355,10.18638599,ENSPEMG00000024093,24092
Tom1l1,20.3249117,20.15386847,20.91076212,23.72754476,23.39238362,24.67558313,ENSPEMG00000022203,22202
Rbm39,67.47034752,64.45303708,65.73725158,95.74282102,87.24214233,101.8421078,ENSPEMG00000021887,21886
,2.33414726,2.290475345,2.41405461,4.224366646,4.244742427,3.959486607,ENSPEMG00000022444,22443
Stx5a,50.87199685,48.72564892,46.48517667,106.477714,106.9361853,97.73233564,ENSPEMG00000017791,17790
Hic2,0.512665057,0.515522486,0.535140491,0.649869728,0.635230345,0.62881955,ENSPEMG00000012710,12709
,1.627577464,1.573020742,2.116757927,4.117189228,3.763273583,3.807749095,ENSPEMG00000010319,10318
D6Wsu163e,8.886402919,9.56117712,9.982652419,14.70878938,13.14871354,14.68058127,ENSPEMG00000016634,16633
Mrnip,10.61439718,11.32217768,9.973948732,16.09293435,14.97356106,17.09578199,ENSPEMG00000018478,18477
Ints3,17.46131653,16.95538955,17.79583184,20.96368843,20.55449791,22.16465055,ENSPEMG00000009736,9735
,7.243772933,6.864158784,6.574775683,9.727006858,9.083912373,9.201101728,ENSPEMG00000022447,22446
Siah1a,5.713370065,6.289080071,6.489631827,13.61894593,14.7744354,13.71804854,ENSPEMG00000008065,8064
Top3b,15.33642876,13.81708818,15.13002629,26.95273423,25.21758606,24.10066573,ENSPEMG00000007198,7197
Txndc11,11.44760965,13.0131997,12.04097024,25.54650665,23.41305157,22.69262188,ENSPEMG00000005958,5957
Tmem269,0.09849538,0.100307222,0.071099852,0.237001116,0.250036232,0.23323326,ENSPEMG00000006920,6919
Dnajc27,5.432769444,5.155945528,5.246002336,7.492914576,7.989234634,8.516189547,ENSPEMG00000015746,15745
Psat1,41.91281254,38.31210737,42.82806358,145.1386985,175.8852138,178.8473896,ENSPEMG00000022279,22278
Zfp712,1.533106979,1.355247728,1.508354293,3.025921725,2.44135367,2.761452673,ENSPEMG00000021548,21547
Zfp583,3.966279949,4.46618223,3.631502893,8.736718407,7.671067177,7.789833557,ENSPEMG00000008184,8183
Zc3h6,3.831349854,3.352972829,3.989828529,7.209503382,6.147166029,6.506338823,ENSPEMG00000000918,918
Ier2,19.00798153,11.7018503,12.74637443,34.42226074,34.04473761,40.06642731,ENSPEMG00000005842,5841
Smndc1,20.04335768,18.64930373,17.57662056,28.17712952,30.01810671,31.94086247,ENSPEMG00000022058,22057
Zfp64,7.204657575,6.251224281,6.772408425,9.553395073,8.893491893,9.258990048,ENSPEMG00000014980,14979
,70.97005564,112.5717999,85.53816959,1306.367965,1553.687429,1342.356902,ENSPEMG00000014925,14924
Mthfd2,21.70441832,21.5977217,28.75455579,102.4316965,118.43398,139.8199874,ENSPEMG00000007283,7282
Relb,18.92567045,15.748983,16.42093571,40.18588344,45.68631919,51.27262833,ENSPEMG00000017792,17791
Trabd,12.33821243,13.56408152,13.98388624,24.99347603,22.96926559,28.85273396,ENSPEMG00000021540,21539
Plekhg5,21.68481143,19.57148746,20.21210803,47.34559398,41.93288393,40.08871898,ENSPEMG00000007445,7444
Klf6,49.26878468,51.11944952,55.08132441,95.56494103,83.44920286,105.5164946,ENSPEMG00000008003,8002
Preb,30.08273637,30.2392056,31.18823137,45.17164005,42.32153548,41.40216128,ENSPEMG00000015929,15928
Ddit3,23.54380213,24.19604533,20.3208761,335.1034015,292.4540309,463.5958746,ENSPEMG00000000565,565
Cln8,7.779823211,7.506784066,7.671912726,8.652539932,8.506942871,8.461975142,ENSPEMG00000023175,23174
Nfkbia,46.47447321,37.249593,38.680928,103.5786922,82.78862506,114.5270108,ENSPEMG00000019685,19684
,2.318649493,2.266524499,2.971272012,6.648240058,7.224609037,8.568159452,ENSPEMG00000021004,21003
,26.96563486,26.89954465,29.48747353,49.48016596,49.50458938,59.71922174,ENSPEMG00000011225,11224
Syvn1,17.44333354,20.0899158,19.80698224,44.65845465,48.22272153,43.66388181,ENSPEMG00000004066,4065
Egr1,2.030939589,2.956846402,2.286408479,18.73597437,12.87267984,15.2739419,ENSPEMG00000004892,4891
Plekhh3,3.92450284,3.377730444,3.074042056,6.632439315,7.309193407,7.987326359,ENSPEMG00000011634,11633
Ap3s2,19.28198014,18.62953718,18.85506791,24.45931382,23.91330444,26.96469031,ENSPEMG00000013394,13393
Lmf1,19.4433617,18.99302977,18.28369313,21.96008897,21.99228162,22.00271376,ENSPEMG00000019205,19204
,10.18961982,10.19573064,10.46819216,16.81891233,15.83825135,19.52915936,ENSPEMG00000023329,23328
Arfip2,14.09662794,11.87008092,12.90071797,19.77145596,18.81655635,18.64846711,ENSPEMG00000002024,2023
Dusp5,0.937578562,0.946553502,0.934788457,1.215324617,1.158326219,1.315603657,ENSPEMG00000018791,18790
Fam117a,5.924097472,5.157827433,5.479981048,7.926523898,7.239703679,7.587680125,ENSPEMG00000020788,20787
,84.40650626,86.52559145,84.96276125,131.7369719,121.4196932,147.9535485,ENSPEMG00000015312,15311
Tars,54.83233749,51.58879371,57.52241388,85.76607548,92.03915637,86.4353823,ENSPEMG00000024237,24236
Tmem248,44.1987498,44.9348608,42.04267529,58.89522552,62.98855883,61.6634961,ENSPEMG00000011876,11875
Atf5,282.5735694,201.4829301,211.3622132,544.2985841,435.0795952,510.0579662,ENSPEMG00000015841,15840
,28.34689313,29.34570308,33.26759086,63.10211718,50.16489486,61.27881183,ENSPEMG00000016319,16318
,4.775801257,4.282685162,4.289186471,9.698789627,8.251118886,8.210191665,ENSPEMG00000019647,19646
Tlk2,14.78886048,13.82427016,14.05482293,19.92387369,18.87539799,22.15351057,ENSPEMG00000009099,9098
Pigw,2.97416713,2.327064439,2.68039174,4.453961214,3.928209966,4.560586117,ENSPEMG00000023553,23552
Hist2h2bb,11.86230215,12.61982009,12.05798756,44.02625129,53.60801055,48.3683542,ENSPEMG00000009038,9037
Trmt13,15.75450256,15.55867104,16.83324133,21.3140477,21.48677127,23.73867479,ENSPEMG00000000275,275
Mtif3,4.779038931,5.178739301,5.390306163,7.154454902,6.701690212,7.46894268,ENSPEMG00000000930,930
Tmem141,5.844680242,5.197065164,4.659834711,10.73372157,8.738704476,11.30953371,ENSPEMG00000008373,8372
Tmem68,7.156198813,6.068921855,5.881219331,9.513639583,9.034007953,9.546818429,ENSPEMG00000021534,21533
Kansl2,44.58003379,38.44442925,37.21550233,60.83437043,61.04530241,59.63305551,ENSPEMG00000008795,8794
Kdm5a,15.04647241,13.52111601,13.83324132,20.36262058,17.98306318,19.8069014,ENSPEMG00000019803,19802
Polr3e,10.91427682,9.097274024,10.16696082,14.11674701,14.45903846,15.33785052,ENSPEMG00000014636,14635
Tbrg1,22.82842784,21.71906969,20.85925668,27.64316363,26.62075401,29.38385573,ENSPEMG00000011673,11672
Usp20,3.926398495,3.766147153,3.89669037,4.404294573,4.516948961,4.447184555,ENSPEMG00000017617,17616
Zbtb48,4.439139371,3.991017177,4.105683787,8.567474157,7.548793736,10.18321981,ENSPEMG00000015635,15634
Fbxl12,4.113202561,6.485601779,5.173528445,13.99724999,15.35207739,14.74267436,ENSPEMG00000005521,5520
Ppil4,11.85503796,10.0552759,11.08972113,15.21714701,14.57265024,16.18886952,ENSPEMG00000010912,10911
Slc33a1,11.70343626,12.89171377,12.9445084,23.96701031,26.92801366,29.89326509,ENSPEMG00000011599,11598
Mthfsd,6.139408355,6.079924012,5.878335193,10.10875059,9.92152864,9.10917931,ENSPEMG00000023762,23761
Hook2,5.526974527,5.382391128,4.937254445,6.83267526,6.935120765,6.902779617,ENSPEMG00000009962,9961
Ecd,15.96225494,12.64100636,14.69286068,25.45625592,24.02752239,23.16550309,ENSPEMG00000009637,9636
,28.3835881,21.46094836,17.43019044,50.83656127,43.26355209,52.3913221,ENSPEMG00000008408,8407
Nars,112.1446072,91.58383723,105.4260453,153.0157657,140.8908072,153.0175645,ENSPEMG00000014431,14430
Yeats4,17.7375868,16.27546984,18.35624915,24.35155297,22.67640221,26.10995538,ENSPEMG00000023320,23319
Zfp408,4.673953772,5.046214022,4.185629667,11.05838007,10.02654801,9.331505493,ENSPEMG00000016757,16756
Tpcn2,1.874365657,1.689327811,2.426432298,4.280521301,3.601580705,4.243134841,ENSPEMG00000018425,18424
Stoml1,11.79239362,11.59571568,11.92081098,19.36195811,15.97999508,19.11640914,ENSPEMG00000020198,20197
Shpk,0.390969175,0.324035388,0.306244061,1.29376711,1.425395946,1.178917562,ENSPEMG00000015933,15932
Edrf1,4.67766742,4.912166201,4.722260864,6.879031411,7.470363546,7.081694489,ENSPEMG00000020993,20992
,14.33738498,14.05424076,14.53424973,16.35496313,16.16152638,17.29998325,ENSPEMG00000004287,4286
Akap3,0.882676121,0.654922418,0.537041922,9.011442533,7.741580053,6.521246162,ENSPEMG00000010840,10839
Aste1,2.403968186,2.434724614,2.092805475,3.852454125,3.793947319,3.565784457,ENSPEMG00000020090,20089
Mknk1,6.921905421,7.395209976,7.163901532,10.64267537,11.70973977,12.40773883,ENSPEMG00000022552,22551
,2.939458829,3.155343229,2.609335322,33.84208356,45.31877032,40.96598239,ENSPEMG00000012361,12360
Kctd5,10.72075387,9.5720428,9.756994267,13.45519107,14.43148465,14.2798115,ENSPEMG00000010556,10555
Cstf1,19.12608303,19.38377358,18.30736555,23.16147268,21.82802571,22.44592468,ENSPEMG00000019660,19659
Rbm38,1.842019947,1.432602074,1.383061414,2.964668502,3.284541893,3.123326541,ENSPEMG00000019727,19726
Tbrg4,21.59269237,20.12346801,22.54647707,35.71656769,38.74871382,44.25011657,ENSPEMG00000009444,9443
Med8,13.25666371,12.00187574,13.8545503,18.65945359,17.39138421,20.19908511,ENSPEMG00000018362,18361
Gtpbp3,7.643757854,6.538158942,8.075633053,11.65739755,10.3657017,11.58105791,ENSPEMG00000011836,11835
,0.22687611,0.295375834,0.290324397,1.309514032,1.694587277,1.560420214,ENSPEMG00000010975,10974
Mbip,11.63049859,10.61724551,10.89294006,14.41789961,14.46934737,16.22058687,ENSPEMG00000019510,19509
Slc7a5,10.02300559,11.89851185,11.28621622,100.3291103,134.594106,120.0140611,ENSPEMG00000023626,23625
Got1,18.35710447,14.04686434,15.22432814,27.76936293,24.27552524,26.15326459,ENSPEMG00000010376,10375
Gzf1,6.029743993,5.102461976,5.502533623,8.591210521,7.969969825,7.853674738,ENSPEMG00000011285,11284
Dnajb5,3.677304581,3.648021226,3.447724773,6.038669585,5.375468663,5.27380221,ENSPEMG00000018809,18808
Zfp346,5.373544139,4.835162659,4.974679896,7.22858354,7.093810309,6.71570865,ENSPEMG00000000913,913
Bbc3,4.232125974,4.313938144,4.515112486,9.281467876,11.2387432,10.54469286,ENSPEMG00000014228,14227
Arfgap2,37.20401942,35.97078529,35.63952511,45.93290678,42.30372017,47.83156671,ENSPEMG00000009220,9219
,13.55581634,11.50802151,10.87616775,17.65992105,17.06966469,17.86990831,ENSPEMG00000021958,21957
Tmem86a,1.328275509,0.821770961,0.949240367,2.092003984,2.089283835,2.123080985,ENSPEMG00000016280,16279
Plk3,2.889947002,2.712791387,3.024021366,6.502287684,4.833562864,6.430673299,ENSPEMG00000023420,23419
Chd2,8.313149214,8.929888193,8.544012658,14.86825116,14.88801784,13.42933699,ENSPEMG00000019507,19506
Ints14,12.3042839,11.92215633,11.94820065,14.56853506,15.40063302,14.80899318,ENSPEMG00000008550,8549
Slc12a9,10.96439008,9.300309811,9.807816332,14.29997815,13.83432723,13.60466271,ENSPEMG00000008133,8132
Zfp553,10.86756523,9.375302487,10.04328942,16.082858,15.69107268,14.58879659,ENSPEMG00000018451,18450
,5.056891729,4.50258868,5.856855766,12.10480533,9.060591189,11.58760396,ENSPEMG00000022743,22742
Pck2,21.25287421,24.17549781,22.03463944,54.60520354,67.78305954,64.53768892,ENSPEMG00000012420,12419
Mtpap,9.985604422,8.367085721,8.346343921,16.50095459,16.57757665,14.88734764,ENSPEMG00000019906,19905
Ctu1,8.278051972,7.792975237,8.18584204,11.34912161,12.0506092,11.10589295,ENSPEMG00000012545,12544
Sin3a,13.0895195,12.97488555,12.98866319,17.61361201,17.59598644,16.40609079,ENSPEMG00000008770,8769
Zfp821,12.68996685,10.69908512,10.11164643,17.65893428,15.75446745,17.27837736,ENSPEMG00000018274,18273
Trim39,4.960636309,4.646200586,4.359221286,7.16519711,7.230620076,6.65843735,ENSPEMG00000017409,17408
Baz1a,9.902913785,10.20375755,10.00326758,11.77379842,11.27295075,11.2974329,ENSPEMG00000014114,14113
Frs3,0.484060098,0.731043915,0.798115065,2.761475201,2.242801514,2.145284198,ENSPEMG00000016427,16426
Dusp14,2.125032458,1.877779468,2.117375676,3.816420306,4.549141488,4.854001443,ENSPEMG00000022461,22460
Ankrd54,14.55546734,13.88108966,12.63634723,19.03835355,20.80879537,20.88420554,ENSPEMG00000009959,9958
Hsp90b1,525.9379768,641.2444635,605.7236433,995.4033208,981.3438774,933.0097216,ENSPEMG00000022761,22760
Brd2,68.05603143,67.04785837,65.84231119,112.9046323,94.32331608,99.81673997,ENSPEMG00000018138,18137
Pelo,52.67393555,56.35827688,50.39287453,75.80797708,81.76890105,88.55725444,ENSPEMG00000015584,15583
Rhbdd1,12.91181121,13.49516848,13.689726,19.8444258,19.5370814,18.12657436,ENSPEMG00000022110,22109
