a,1.0,2.0,3.0,4.0,5.0,6.0
b,2.0,3.0,4.0,5.0,6.0,7.0
c,12.0,23.0,12.0,12.0,7.0,2.0
,*,*,*,*,*,*
Gene.name,C1,C2,C3,T1,T2,T3,Gene.stable.ID,DBID,P Values,a,b,c,R Values,a,b,c
Atf4,120.4407851,93.88109067,104.4019996,622.5634676,565.7069481,647.5238973,ENSPEMG00000006079,6078,,0.021647563822808615,0.021647563822808615,0.11853544338381343,,0.8773339510077983,0.8773339510077983,-0.7038961109167781
Trib3,8.132534372,8.944704667,8.291022066,205.0354602,191.5652193,219.5402592,ENSPEMG00000023788,23787,,0.017530905142671357,0.017530905142671357,0.12460838293097301,,0.8898512886941777,0.8898512886941777,-0.6959591231347124
Vps37c,13.969968,12.32115071,12.99711947,25.03521179,23.76548984,25.36404533,ENSPEMG00000004563,4562,,0.02741795887862809,0.02741795887862809,0.10570793469485122,,0.8615699502706193,0.8615699502706193,-0.7212705006036524
null0,75.73983222,61.99805358,63.67524689,246.0089008,211.3534083,237.8899755,ENSPEMG00000017251,17250,,0.03357538969692518,0.03357538969692518,0.13792457408873812,,0.8464049622800567,0.8464049622800567,-0.6791222859162047
Zfp623,6.220979359,5.750126767,5.842944202,10.10538226,9.452773314,10.58390879,ENSPEMG00000011533,11532,,0.024261468704858298,0.024261468704858298,0.10211070723155702,,0.8699726649396262,0.8699726649396262,-0.726307284906527
E4f1,8.81262873,7.820473243,8.04378162,14.80901583,13.7122864,15.19863336,ENSPEMG00000003979,3978,,0.03021200094029578,0.03021200094029578,0.10447253609090995,,0.8545080012285813,0.8545080012285813,-0.72299161550472
Ears2,3.366429185,3.277016204,3.109835196,6.453762876,5.864658888,6.773051007,ENSPEMG00000010930,10929,,0.024749292587584397,0.024749292587584397,0.12794331890609317,,0.8686414771597495,0.8686414771597495,-0.691672173393568
Nck1,15.0143793,14.80799161,14.2373581,21.2511384,21.05600428,21.50967322,ENSPEMG00000020513,20512,,0.027980418055423582,0.027980418055423582,0.13892510996954593,,0.8601218666254054,0.8601218666254054,-0.6778862137429875
Zfp397,7.336910905,6.244352539,7.38285218,14.48777821,14.18378613,15.53036111,ENSPEMG00000019113,19112,,0.015461996228634775,0.015461996228634775,0.07744528160551935,,0.8966768216353662,0.8966768216353662,-0.763242936255373
null1,5.329256485,4.935858183,4.286461321,12.33541752,12.28804041,13.32414724,ENSPEMG00000009386,9385,,0.023865903859111623,0.023865903859111623,0.11953615573875236,,0.8710614757231998,0.8710614757231998,-0.7025762374639677
Chac1,4.012047779,4.326194321,3.577579626,110.6624766,101.1297729,102.2490118,ENSPEMG00000008038,8037,,0.028176087262823845,0.028176087262823845,0.15767447120187084,,0.859621345798633,0.859621345798633,-0.6553868977303359
